Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Type
8MM,8mm,63ac68190f44f700e16ae0f8,64030c8f422e3a087eb6085f,2023-03-04 09:17:03,2023-03-04 09:17:03,2023-03-04 09:17:03,Bar/Restaurant/Small venue
9ROSES,9roses,63ac68190f44f700e16ae0f8,640a1047f378af2a877c6617,2023-03-09 16:58:47,2023-03-09 16:58:47,2023-03-09 16:58:47,Bar/Restaurant/Small venue
A-Trane,a-trane,63ac68190f44f700e16ae0f8,640a10eb32785f539108bf99,2023-03-09 17:01:31,2023-03-09 17:01:31,2023-03-09 17:01:31,Bar/Restaurant/Small venue
Abgedreht Club,abgedreht-club,63ac68190f44f700e16ae0f8,63e50913750f5d4b3dfce9e6,2023-02-09 14:54:11,2023-02-09 14:54:11,2023-02-09 14:54:11,Large club/venue
://about blank,about-blank,63ac68190f44f700e16ae0f8,63bd8c17825069e3e83330ba,2023-01-10 16:02:31,2023-03-30 15:36:53,2023-03-30 15:36:53,Large club/venue
Acud Macht NEU,acud-macht-neu,63ac68190f44f700e16ae0f8,63c46df194eb3991f3027ac3,2023-01-15 21:19:45,2023-01-15 21:19:45,2023-01-15 21:19:45,
Admiralspalast ,admiralspalast,63ac68190f44f700e16ae0f8,63f8ef0e97febd52faa704a5,2023-02-24 17:08:30,2023-02-24 17:08:30,2023-02-24 17:08:30,Large club/venue
ÆDEN,aeden,63ac68190f44f700e16ae0f8,63c477edd06f10e35f787b82,2023-01-15 22:02:21,2023-01-15 22:02:21,2023-01-15 22:16:59,Large club/venue
ÆVE,aeve,63ac68190f44f700e16ae0f8,63c6dbf8d1d2ee91a5e90c8c,2023-01-17 17:33:44,2023-01-17 17:33:44,2023-01-17 17:33:44,Large club/venue
Akademie der Künste,akademie-der-kunste,63ac68190f44f700e16ae0f8,647b116c5e854d08d1c92b49,2023-06-03 10:09:48,2023-06-03 10:09:48,2023-06-03 10:09:48,Large club/venue
Aktionshaus,aktionshaus,63ac68190f44f700e16ae0f8,641dcc2e4a02837b3630d4d7,2023-03-24 16:13:34,2023-03-24 16:13:34,2023-03-24 16:13:34,Large club/venue
Alte Kantine,alte-kantine,63ac68190f44f700e16ae0f8,64030f92e2cfd930efd95571,2023-03-04 09:29:54,2023-03-04 09:29:54,2023-03-04 09:29:54,Large club/venue
Alte Münze,alte-munze,63ac68190f44f700e16ae0f8,63c3072d2405e7f1f2d0fe15,2023-01-14 19:49:01,2023-03-09 09:29:11,2023-03-09 09:29:11,Large club/venue
Altes Ziegelwerk Klausdorf (Bei Zossen),altes-ziegelwerk-klausdorf-bei-zossen,63ac68190f44f700e16ae0f8,647f4e6e2fcff739ae9b01bd,2023-06-06 15:19:10,2023-06-06 15:19:10,2023-06-06 15:19:10,Large club/venue
Amano Apartment Bar,amano-apartment-bar,63ac68190f44f700e16ae0f8,6409b0b22b71f3091170acd2,2023-03-09 10:10:58,2023-03-09 10:10:58,2023-03-09 10:10:58,Bar/Restaurant/Small venue
Anita Berber,anita-berber,63ac68190f44f700e16ae0f8,6436fd004655c94beb22ecff,2023-04-12 18:48:32,2023-04-12 18:48:32,2023-04-12 18:48:32,Bar/Restaurant/Small venue
Anomalie Art Club,anomalie-art-club,63ac68190f44f700e16ae0f8,63dba4c8e7bf2a2c7479f0e4,2023-02-02 11:55:52,2023-02-02 11:55:52,2023-02-02 11:55:52,Large club/venue
ARCHE Neuenhagen,arche-neuenhagen,63ac68190f44f700e16ae0f8,63f8f79e2e891646d0c68361,2023-02-24 17:45:02,2023-02-24 17:45:02,2023-02-24 17:45:02,Large club/venue
Arena Gärten der Welt,arena-garten-der-welt,63ac68190f44f700e16ae0f8,647f4fcf726a6f161b94e2e5,2023-06-06 15:25:03,2023-06-06 15:25:03,2023-06-06 15:25:03,Large club/venue
